hh,mm,x (min in day),y0,y1,y2
23,48,1428,834.696,17512.826,0.141
23,51,1431,670.147,17347.977,0.107
23,54,1434,999.061,34295.151,0.14
23,57,1437,5352,119662.144,0.552
0,0,0,1076.331,22913.856,0.188
0,3,3,8579.05,189958.011,0.978
0,6,6,1737.455,40105.182,0.273
0,9,9,916.527,12627.209,0.187
0,12,12,1265.708,30615.416,0.202
0,15,15,1003.757,18519.735,0.171
0,18,18,1472.358,44065.43,0.246
0,21,21,1532.818,35034.166,0.221
0,24,24,676.356,18561.6,0.1
0,27,27,1436.489,46716.311,0.183
0,30,30,2472.089,50424.492,0.788
0,33,33,1191.293,51717.039,0.21
0,36,36,1213.495,19900.176,0.253
0,39,39,1910.192,38937.627,0.35
0,42,42,4091.76,102058.448,0.273
0,45,45,1016.452,19253.424,0.175
0,57,57,1301.039,24544.044,0.227
1,0,60,1828.756,57656.4,0.194
1,3,63,1516.578,42680.133,0.25
1,6,66,1176.089,25073.156,0.228
1,9,69,878.838,19561.743,0.151
1,12,72,880.044,18595.56,0.154
1,15,75,2785.753,61162.427,0.337
1,18,78,7955.182,204330.166,0.63
1,45,105,7925.436,244623.735,0.845
1,48,108,1768.622,35882.933,0.222
1,51,111,4154.505,80748.176,0.467
1,54,114,1272.134,29272.134,0.207
1,57,117,1192.626,22062.972,0.201
2,0,120,1812.459,36028.197,0.224
2,12,132,1520,32762.652,0.238
2,15,135,1509.556,32624.711,0.206
2,18,138,1073.644,23751.467,0.172
2,21,141,996.469,18153.073,0.145
2,24,144,6082.549,144317.231,0.714
2,27,147,1394.067,47442.292,0.202
2,30,150,5928.045,160492.782,0.631
2,33,153,1041.18,22859.322,0.169
2,36,156,1435.778,35133.956,0.261
2,39,159,912.989,16487.73,0.157
2,42,162,894.723,18253.872,0.154
2,45,165,1678.605,47217.628,0.291
2,48,168,1012.179,18648.915,0.159
2,51,171,1816.755,96053.535,0.226
2,54,174,2259.046,97538.152,0.218
2,57,177,2068.148,43109.778,0.278
3,0,180,2979.644,52755.327,0.356
3,3,183,1631.404,24304.447,0.273
3,6,186,1237.277,25564.524,0.194
3,9,189,5529.42,132174.911,1.036
3,12,192,3472.699,53766.175,0.558
3,15,195,6425.063,113389.468,0.627
3,18,198,2344.492,37927.138,0.282
3,21,201,1365.497,27547.681,0.215
3,24,204,807.09,19209.365,0.118
3,27,207,1290.538,24439.283,0.159
3,30,210,1755.885,38931.462,0.24
3,33,213,1032.583,21537.642,0.139
3,36,216,1339.981,30564.096,0.191
3,39,219,2736,59977.907,0.331
3,42,222,1886.111,41130.222,0.273
3,45,225,1493.804,35557.752,0.222
3,48,228,1169.176,16888.118,0.206
3,51,231,2538.895,48181.842,0.434
3,54,234,2886.118,53254.717,0.289
3,57,237,1059.836,19645.801,0.17
4,0,240,962.879,24836.748,0.15
4,3,243,2797.479,66496.11,0.404
4,6,246,2607.495,84742.905,0.326
4,9,249,5586.024,110257.506,0.376
4,12,252,1898.08,40664.08,0.315
4,15,255,1082.177,26274.987,0.165
4,18,258,1333.36,34140.223,0.228
4,21,261,6384.741,160525.284,0.796
4,24,264,2296.95,83663.762,0.248
4,27,267,11899,459751.7,1.113
4,30,270,5472.622,107429.306,1.088
4,33,273,1606.361,23525.976,0.295
4,36,276,2045.773,43494.763,0.309
4,39,279,14677.687,464260.964,1.151
4,42,282,1241.005,24236.901,0.209
4,45,285,5652.734,66005.018,0.941
4,48,288,3217.382,113523.435,0.686
4,51,291,2685.207,55674.651,0.32
4,54,294,2196.287,33782.163,0.33
4,57,297,6962.755,205191.682,0.834
5,0,300,5542.144,183964.165,0.593
5,3,303,1373.928,32090.458,0.187
5,6,306,16606.227,368649.072,1.552
5,9,309,2749.03,66103.569,0.491
5,12,312,17944.957,381782.813,1.445
5,15,315,10534.187,347516.64,1.093
5,18,318,16449.191,621481.234,1.447
5,21,321,4593.976,119571.2,0.624
5,24,324,3614.458,90924.208,0.432
5,27,327,26960.982,669372.304,1.994
5,30,330,4706.217,113659.261,0.603
5,33,333,17409.636,868503.364,1.114
5,36,336,2198.365,86723.138,0.227
5,39,339,3277.348,73350.966,0.455
5,42,342,5442.882,70466.495,0.672
5,45,345,3973.897,56328.823,0.463
5,48,348,3544.133,96095.691,0.569
5,51,351,5725.702,147465.724,0.807
5,54,354,3696.257,85634.61,0.492
5,57,357,1922.651,56338.465,0.302
6,0,360,1653.363,47309.67,0.187
6,3,363,7303.773,317860.182,0.693
6,6,366,1355.632,59293.405,0.189
6,9,369,2745.582,119072.452,0.401
6,12,372,1762.725,47971.736,0.242
6,15,375,2606.373,76314.124,0.333
6,18,378,1866.108,38334.452,0.323
6,21,381,1316.717,24148.671,0.173
6,24,384,2778.217,52724.696,0.451
6,27,387,4393.227,99608.318,0.903
6,30,390,6811.484,162856.731,1.145
6,33,393,2464.736,123392.966,0.333
6,36,396,6625.2,220896.178,0.878
6,39,399,13963.467,350244.667,1.106
6,42,402,5492.088,143704.484,0.648
6,45,405,2420.178,75370.978,0.317
6,48,408,5071.056,183616.404,0.601
6,51,411,2367.707,41902.785,0.288
6,54,414,12006.959,330426.462,1.112
6,57,417,11800.489,279477.867,1.333
7,0,420,3940.109,103702.251,0.989
7,3,423,4179.299,79757.785,0.65
7,6,426,4396.514,116414.659,0.391
7,9,429,5226.857,118240.703,0.588
7,12,432,1648.978,60389.422,0.228
